brand,model,ram_gb,storage_gb,age_years,battery_health,condition,original_price,resale_price
Realme,Realme Narzo 60,6,128,3,72,Fair,15999,7000
Vivo,Vivo X100 Pro,16,256,1,95,Excellent,89999,72000
Vivo,Vivo X100 Pro,12,256,1,91,Good,84999,65000
Vivo,Vivo X90 Pro,12,256,2,87,Good,84999,50000
Vivo,Vivo X90 Pro,8,256,2,80,Fair,79999,38000
Vivo,Vivo V29,8,256,1,92,Excellent,35999,28000
Vivo,Vivo V29,8,128,2,82,Good,32999,20000
Vivo,Vivo Y100,8,128,2,83,Good,21999,14000
Vivo,Vivo Y100,6,128,3,72,Fair,19999,9000
OPPO,OPPO Find X7,16,256,1,94,Excellent,79999,63000
OPPO,OPPO Find X6 Pro,12,256,2,86,Good,84999,48000
OPPO,OPPO Reno 11 Pro,12,256,1,92,Excellent,39999,31000
OPPO,OPPO Reno 11 Pro,8,256,2,82,Good,36999,22000
OPPO,OPPO A79,8,128,2,83,Good,22999,14000
OPPO,OPPO A79,6,128,3,72,Fair,20999,9000
Apple,iPhone 13,4,256,3,78,Good,79900,38000
Apple,iPhone 14,6,512,2,84,Good,99900,52000
Samsung,Galaxy S23,8,512,2,79,Good,94999,44000
Samsung,Galaxy A54,8,128,1,90,Excellent,38999,30000
OnePlus,OnePlus 12,16,512,1,93,Excellent,69999,56000
Xiaomi,Redmi Note 13 Pro,12,256,1,93,Excellent,29999,23000
Google,Pixel 8,8,128,2,85,Good,75999,48000
Apple,iPhone 12,4,128,5,62,Poor,69900,11000
Samsung,Galaxy S21,8,128,5,50,Poor,69999,10000
OnePlus,OnePlus 9,8,128,5,55,Poor,49999,10000
